Project_id,Project Name,Project Link,Project Issues,Pull Requests,Watch,Stars,Fork
1,tensorflow/ tensorflow,http://github.com//tensorflow/tensorflow,"2,392",277,"8,575","131,576","76,342"
2,aymericdamien/ TensorFlow -Examples,http://github.com//aymericdamien/TensorFlow-Examples,132,41,"2,037","32,964","12,467"
3,jikexueyuanwiki/ tensorflow -zh,http://github.com//jikexueyuanwiki/tensorflow-zh,28,0,"1,296","11,059","4,112"
4,tensorflow/models,http://github.com//tensorflow/models,"1,387",377,"2,946","55,752","34,804"
5,jtoy/awesome- tensorflow,http://github.com//jtoy/awesome-tensorflow,0,24,"1,012","14,418","2,617"
6,yao62995/ tensorflow,http://github.com//yao62995/tensorflow,1,0,209,"1,887",555
7,carpedm20/DCGAN- tensorflow,http://github.com//carpedm20/DCGAN-tensorflow,164,3,246,"5,940","2,381"
8,chiphuyen/stanford- tensorflow -tutorials,http://github.com//chiphuyen/stanford-tensorflow-tutorials,60,20,618,"8,756","4,033"
9,nfmcclure/ tensorflow _cookbook,http://github.com//nfmcclure/tensorflow_cookbook,18,4,330,"4,996","2,199"
10,Hvass-Labs/ TensorFlow -Tutorials,http://github.com//Hvass-Labs/TensorFlow-Tutorials,2,0,516,"7,408","3,614"
11,davidsandberg/facenet,http://github.com//davidsandberg/facenet,373,36,551,"8,671","3,579"
12,machinelearningmindset/ TensorFlow -Course,http://github.com//machinelearningmindset/TensorFlow-Course,1,0,772,"12,723","2,458"
13,czy36mengfei/ tensorflow 2_tutorials_chinese,http://github.com//czy36mengfei/tensorflow2_tutorials_chinese,7,0,117,"2,523",511
14,caicloud/ tensorflow -tutorial,http://github.com//caicloud/tensorflow-tutorial,10,0,245,"2,609","2,036"
15,tensorflow/docs,http://github.com//tensorflow/docs,38,,128,"1,742","1,885"
16,balancap/SSD- Tensorflow,http://github.com//balancap/SSD-Tensorflow,262,11,153,"3,277","1,581"
17,MorvanZhou/ Tensorflow -Tutorial,http://github.com//MorvanZhou/Tensorflow-Tutorial,5,0,236,"3,271","1,569"
18,pkmital/ tensorflow _tutorials,http://github.com//pkmital/tensorflow_tutorials,10,6,257,"5,338","1,198"
19,MorvanZhou/Reinforcement-learning-with- tensorflow,http://github.com//MorvanZhou/Reinforcement-learning-with-tensorflow,21,3,233,"3,916","2,555"
20,rstudio/ tensorflow,http://github.com//rstudio/tensorflow,10,1,101,"1,140",314
