Project Link,Top 10 vs Total,Leader vs Top 10
https://github.com/vuejs/vue,0.8991537376586742,0.8952941176470588
https://github.com/twbs/bootstrap,0.8906552927491276,0.5772747061384415
https://github.com/angular/angular,0.5690043550082595,0.14410134600158353
https://github.com/expressjs/express,0.9668372569089048,0.7467711200508151
https://github.com/meteor/meteor,0.8477128623188406,0.23360491518632295
https://github.com/ionic-team/ionic,0.8824915824915824,0.2661833905633982
https://github.com/Dogfalo/materialize,0.925085910652921,0.475482912332838
https://github.com/serverless/serverless,0.735812133072407,0.25572831423895254
https://github.com/hexojs/hexo,0.915269596737653,0.8772277227722772
https://github.com/photonstorm/phaser,0.9286616161616161,0.7860541905409343
